Year Built,SalePrice
1885,122500
1890,240000
1900,150000
1910,125500
1912,159900
1915,149500
1920,100000
1921,140000
1922,140750
1923,109500
1925,87000
1928,105900
1929,130000
1930,138400
1936,123900
1938,119000
1939,134000
1940,119000
1940,244400
1942,132000
1945,80000
1948,129000
1950,128500
1951,141000
1957,149700
1958,172000
1959,128950
1960,215000
1961,105000
1962,84900
1963,143000
1964,180500
1966,142250
1967,178900
1968,193000
1970,149000
1971,149900
1972,197500
1974,170000
1975,120000
1976,130500
1977,190000
1978,206000
1980,155000
1985,212000
1988,164000
1990,171500
1992,191500
1993,175900
1994,325000
1995,236500
1996,260400
1997,189900
1998,221000
1999,333168
2000,216000
2001,222500
2002,320000
2003,538000
2004,192000
2005,220000
2006,205000
2007,306000
2008,262500
2009,376162
2010,394432